Location,FIPS,2019 Population
Virginia,51000,"8,535,519"
".Accomack County, Virginia",51001,"32,316"
".Albemarle County, Virginia",51003,"109,330"
".Alleghany County, Virginia",51005,"14,860"
".Amelia County, Virginia",51007,"13,145"
".Amherst County, Virginia",51009,"31,605"
".Appomattox County, Virginia",51011,"15,911"
".Arlington County, Virginia",51013,"236,842"
".Augusta County, Virginia",51015,"75,558"
".Bath County, Virginia",51017,"4,147"
".Bedford County, Virginia",51019,"78,997"
".Bland County, Virginia",51021,"6,280"
".Botetourt County, Virginia",51023,"33,419"
".Brunswick County, Virginia",51025,"16,231"
".Buchanan County, Virginia",51027,"21,004"
".Buckingham County, Virginia",51029,"17,148"
".Campbell County, Virginia",51031,"54,885"
".Caroline County, Virginia",51033,"30,725"
".Carroll County, Virginia",51035,"29,791"
".Charles City County, Virginia",51036,"6,963"
".Charlotte County, Virginia",51037,"11,880"
".Chesterfield County, Virginia",51041,"352,802"
".Clarke County, Virginia",51043,"14,619"
".Craig County, Virginia",51045,"5,131"
".Culpeper County, Virginia",51047,"52,605"
".Cumberland County, Virginia",51049,"9,932"
".Dickenson County, Virginia",51051,"14,318"
".Dinwiddie County, Virginia",51053,"28,544"
".Essex County, Virginia",51057,"10,953"
".Fairfax County, Virginia",51059,"1,147,532"
".Fauquier County, Virginia",51061,"71,222"
".Floyd County, Virginia",51063,"15,749"
".Fluvanna County, Virginia",51065,"27,270"
".Franklin County, Virginia",51067,"56,042"
".Frederick County, Virginia",51069,"89,313"
".Giles County, Virginia",51071,"16,720"
".Gloucester County, Virginia",51073,"37,348"
".Goochland County, Virginia",51075,"23,753"
".Grayson County, Virginia",51077,"15,550"
".Greene County, Virginia",51079,"19,819"
".Greensville County, Virginia",51081,"11,336"
".Halifax County, Virginia",51083,"33,911"
".Hanover County, Virginia",51085,"107,766"
".Henrico County, Virginia",51087,"330,818"
".Henry County, Virginia",51089,"50,557"
".Highland County, Virginia",51091,"2,190"
".Isle of Wight County, Virginia",51093,"37,109"
".James City County, Virginia",51095,"76,523"
".King and Queen County, Virginia",51097,"7,025"
".King George County, Virginia",51099,"26,836"
".King William County, Virginia",51101,"17,148"
".Lancaster County, Virginia",51103,"10,603"
".Lee County, Virginia",51105,"23,423"
".Loudoun County, Virginia",51107,"413,538"
".Louisa County, Virginia",51109,"37,591"
".Lunenburg County, Virginia",51111,"12,196"
".Madison County, Virginia",51113,"13,261"
".Mathews County, Virginia",51115,"8,834"
".Mecklenburg County, Virginia",51117,"30,587"
".Middlesex County, Virginia",51119,"10,582"
".Montgomery County, Virginia",51121,"98,535"
